340 181207 358 166 8 285667 797 363945 1016 99306 277 106549 297
341 181208 175 22 0 62151 355 68655 392 18804 107 28870 164
342 181209 290 51 1 116222 400 134435 463 38746 133 49231 169
343 181210 360 86 16 127955 355 185795 516 83416 231 93884 260
344 181211 344 36 2 70158 203 109511 318 70793 205 75699 220
345 181212 373 64 7 113238 303 161511 433 83641 224 85707 229
346 181213 368 67 1 135841 369 175717 477 71140 193 81030 220
347 181214 362 56 2 137867 380 166211 459 61556 170 72293 199
348 181215 186 26 0 77940 419 73677 396 19474 104 26620 143
349 181216 277 79 6 149509 539 167857 605 41801 150 54486 196
350 181217 344 118 27 186195 541 257986 749 94399 274 98052 285
351 181218 337 50 2 126680 375 144314 428 51076 151 56566 167
352 181219 357 69 2 149765 419 160549 449 49360 138 71855 201
353 181220 363 79 0 171020 471 182562 502 37961 104 61846 170
354 181221 352 102 5 206002 585 224939 639 48551 137 67278 191
355 181222 235 53 0 137249 584 131005 557 20648 87 31480 133
356 181223 262 52 7 125699 479 136775 522 40615 155 53105 202
357 181224 135 20 0 57623 426 63954 473 19534 144 22690 168
358 181225 111 9 0 22453 202 30446 274 20331 183 24646 222
359 181226 261 39 3 91550 350 108782 416 40490 155 55748 213
360 181227 284 35 1 99474 350 105818 372 32185 113 49829 175
361 181228 285 47 1 106906 375 126695 444 40231 141 57542 201
362 181229 210 44 0 102447 487 108150 515 26456 125 34370 163
363 181230 241 32 0 82240 341 90474 375 28738 119 39272 162
364 181231 147 21 0 54389 369 60603 412 21314 144 26481 180
